Location,fCO2,fCO2,fCO2,log10fCO2,log10fCO2,log10fCO2
,mean,std,count_nonzero,mean,std,count_nonzero
VCAC_27May2019_3.1,227.82,196.05442917720578,5,0.853525467,0.38835063535540626,5
VCAC_27May2019_3.2,138.48,163.13328047949014,5,0.40594856850000005,0.7103332860440041,5
VCHB_26May2019_1.1.1,458.22,234.32567080881256,5,1.202935332,0.34727006654982406,5
VCHB_26May2019_1.2.1,402.35999999999996,209.2470386887231,5,1.19285496,0.23695020251233817,5
VCHB_26May2019_1.3.1,281.28000000000003,121.80301474101533,5,1.0334542083333333,0.22857009865507474,5
VCHB_26May2019_1.4.1,146.52,24.10258077468053,5,0.78126015275,0.07164288424090433,5
VCHB_26May2019_2.1.1,78.84,31.05612982971317,5,0.498998818,0.1757167026336585,5
VCHB_26May2019_2.2.1,,,5,,,5
VCSS_25May2019_2.1.1,530.56,624.2083190730478,5,0.8247098473333333,1.100849430856807,5
VCSS_25May2019_2.2.2,111.40799999999999,168.85534258648732,5,-0.12095349479999999,1.082481574135317,5
VCSS_25May2019_2.3.1,,,5,,,5
VCSS_25May2019_2.4.1,,,5,,,5
VCSS_25May2019_3.1.1,485.7,299.8615600573038,5,1.23333408425,0.29900855620850725,5
VCSS_25May2019_3.2.1,529.92,520.7815664940532,5,1.20823533525,0.3799867578144413,5
WTHB_01Jul2018_1.1,7.885714285714286,2.74842292441112,8,-0.5066433692857143,0.15529417081361288,8
WTHB_01Jul2018_1.2,8.1,5.544170683828969,8,-0.53439535575,0.23065149394990686,8
WTHB_01Jul2018_1.3,2.0700000000000003,1.0728333647735926,7,-1.0212809727142858,0.11907954600989994,8
WTHB_01Jul2018_1.4,1.62,2.250485661870725,7,-1.2127300276666666,0.4678354856622596,8
WTHB_01Jul2018_1.5,2.46,1.4668917576192966,8,-1.045771895875,0.22739177677943667,8
WTHB_07Jun2019_1.1,1.2,0.33941125496954283,2,-1.3098943795,0.12451532334657675,2
WTHB_07Jun2019_1.2,0.48000000000000004,0.6349803146555019,2,-1.650514998,0.49424642967438825,3
WTHB_07Jun2019_2.1,0.0,0.0,0,,,3
YSLK_04Jul2018_1.1,7.2,4.5027991294304925,5,-0.622273357,0.3622424341503747,5
YSLK_04Jul2018_1.2,2.7359999999999998,3.066933321740138,5,-0.89079243025,0.2835330135201302,5
YSLK_04Jul2018_2.1,76.08000000000001,130.2591491714004,8,-0.08720126774999998,0.8217898204790978,8
YSLK_04Jul2018_2.2,55.86,143.51419481809356,7,-0.4615190322857143,0.8416941768479187,8
YSLK_04Jul2018_2.3,107.94000000000001,174.71000363868288,7,0.08746296450000002,1.0388088396387944,8
YSLK_04Jul2018_2.4,0.5828571428571429,0.896469264870326,6,-1.353917194,0.26108377641130714,7
